,pval,lpval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
56894|LMNB1,0.0115797610661107,-1.93630040163969,Homo sapiens,LMNB1,not sure,IMR90,Fibroblast,Lung,1,LMNB1
77028|ZNF805,0.0117225003403296,-1.9309797459806,Homo sapiens,ZNF805,other,293T,None,None,1,ZNF805
63808|HLF,0.0118752786426764,-1.92535619125619,Homo sapiens,HLF,,HepG2,Epithelium,Liver,1,HLF
67615|ELF3,0.0120508404714388,-1.91898266268421,Homo sapiens,ELF3,tf,CFPAC-1,None,Pancreatic ductal,1,ELF3
77061|ZNF682,0.0123248094207988,-1.90921978751811,Homo sapiens,ZNF682,tf,293T,None,None,1,ZNF682
68963|CBFA2T2,0.0131169960885283,-1.8821656109623,Homo sapiens,CBFA2T2,tf,NCCIT,Embryonal carcinoma cell,None,1,CBFA2T2
55513|YAP1,0.0133432823149545,-1.87473732514736,Homo sapiens,YAP1,other,IMR90,Fibroblast,Lung,1,YAP1
41572|ING2,0.0133766258637009,-1.87365341972018,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
77060|ZNF684,0.013847382252386,-1.85863231907577,Homo sapiens,ZNF684,tf,293T,None,None,1,ZNF684
77173|ZNF141,0.0143500285098872,-1.84314723609554,Homo sapiens,ZNF141,tf,293T,None,None,1,ZNF141
38753|ZNF250,0.0143708719026491,-1.84251688175986,Homo sapiens,ZNF250,tf,LoVo,None,Colon,1,ZNF250
73934|ZNF669,0.0143775496567433,-1.84231512377459,Homo sapiens,ZNF669,,293T,None,None,1,ZNF669
38780|LMX1B,0.0148580684820715,-1.82803764428338,Homo sapiens,LMX1B,tf,LoVo,None,Colon,0,LMX1B
45648|ZZZ3,0.0150446398004858,-1.82261820569951,Homo sapiens,ZZZ3,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,ZZZ3
65163|ZNF667,0.015433633962637,-1.81153180406611,Homo sapiens,ZNF667,,HEK293,Epithelium,Embryonic Kidney,1,ZNF667
65165|ZNF449,0.0155132478887601,-1.80929726778929,Homo sapiens,ZNF449,,HEK293,Epithelium,Embryonic Kidney,1,ZNF449
38710|SATB1,0.0161086040900685,-1.79294209224663,Homo sapiens,SATB1,tf,LoVo,None,Colon,0,SATB1
72465|IRAK4,0.0168531293122677,-1.77331944690732,Homo sapiens,IRAK4,other,SEM,B cell precursor,None,1,IRAK4
42869|TCFL5,0.0170787947271238,-1.76754278129508,Homo sapiens,TCFL5,tf,LoVo,None,Colon,0,TCFL5
77191|ZFP14,0.0180891094313931,-1.74258281393357,Homo sapiens,ZFP14,tf,293T,None,None,1,ZFP14
36814|TLE3,0.0181287561331976,-1.74163199309261,Homo sapiens,TLE3,not sure,MCF-7,Epithelium,Breast,1,TLE3
77019|ZNF90,0.0181501783471377,-1.74111910314593,Homo sapiens,ZNF90,tf,293T,None,None,0,ZNF90
1331|POLR3G,0.0187730031671151,-1.72646624658068,Homo sapiens,POLR3G,tf,HeLa,Epithelium,Cervix,1,POLR3G
77083|ZNF571,0.0194042179721368,-1.71210385548668,Homo sapiens,ZNF571,tf,293T,None,None,1,ZNF571
73933|ZNF680,0.0197746412437559,-1.70389138683259,Homo sapiens,ZNF680,,293T,None,None,1,ZNF680
38835|DLX6,0.0198243827969165,-1.70280032492163,Homo sapiens,DLX6,tf,LoVo,None,Colon,0,DLX6
43448|GFI1B,0.0202706109121842,-1.69313316241738,Homo sapiens,GFI1B,predicted transcription factor,None,Proerythroblast,Bone Marrow,1,GFI1B
37767|TALE,0.0204664450801554,-1.6889575855811,Homo sapiens,TALE,other,K562,Erythroblast,Bone Marrow,0,TALE
42865|RFX7,0.0205200863681181,-1.68782081563049,Homo sapiens,RFX7,tf,LoVo,None,Colon,0,RFX7
1011|FOXH1,0.0205289045252576,-1.68763422507312,Homo sapiens,FOXH1,tf,H9,Embryonic Stem Cell,Embryo,1,FOXH1
47590|SOX4,0.0206123410177345,-1.68587268103266,Homo sapiens,SOX4,tf,LN229,Glioblastoma cell,Brain,1,SOX4
42661|HES5,0.0214987788797393,-1.66758620710076,Homo sapiens,HES5,tf,LoVo,None,Colon,0,HES5
42649|CREB3L1,0.0214987788797393,-1.66758620710076,Homo sapiens,CREB3L1,tf,LoVo,None,Colon,0,CREB3L1
38859|CEBPE,0.0214987788797393,-1.66758620710076,Homo sapiens,CEBPE,tf,LoVo,None,Colon,0,CEBPE
38711|TRPS1,0.0214987788797393,-1.66758620710076,Homo sapiens,TRPS1,tf,LoVo,None,Colon,0,TRPS1
42662|HES7,0.0214987788797393,-1.66758620710076,Homo sapiens,HES7,tf,LoVo,None,Colon,0,HES7
35558|SFMBT1,0.0214987788797393,-1.66758620710076,Homo sapiens,SFMBT1,other,HeLa-S3,Epithelium,Cervix,1,SFMBT1
38676|HMGA1,0.0214987788797393,-1.66758620710076,Homo sapiens,HMGA1,tf,LoVo,None,Colon,0,HMGA1
42839|LCOR,0.0214987788797393,-1.66758620710076,Homo sapiens,LCOR,tf,LoVo,None,Colon,0,LCOR
38660|TGIF1,0.0214987788797393,-1.66758620710076,Homo sapiens,TGIF1,tf,LoVo,None,Colon,0,TGIF1
42766|ID1,0.021499679671101,-1.66756801069414,Homo sapiens,ID1,tf,LoVo,None,Colon,0,ID1
42697|NEUROD2,0.0217763998571681,-1.66201391757391,Homo sapiens,NEUROD2,tf,LoVo,None,Colon,0,NEUROD2
77059|ZNF695,0.0218862712212415,-1.65982822317302,Homo sapiens,ZNF695,tf,293T,None,None,1,ZNF695
49181|EGFA-T1,0.0223297265926354,-1.65111659444028,Homo sapiens,EGFA-T1,other,HEK293T,Epithelium,Embryonic Kidney,0,EGFA-T1
64830|ZNF547,0.0227647705078569,-1.64273672346578,Homo sapiens,ZNF547,,HEK293,Epithelium,Embryonic Kidney,1,ZNF547
49154|SFPQ,0.0255489869119458,-1.59262631616624,Homo sapiens,SFPQ,not sure,MCF-7,Epithelium,Breast,1,SFPQ
8556|CBX2,0.0256289143810521,-1.59126978976988,Homo sapiens,CBX2,cr,HEK293T,Epithelium,Embryonic Kidney,0,CBX2
43568|CBX7,0.0257424175496643,-1.58935066958484,Homo sapiens,CBX7,cr,None,Fibroblast,Foreskin,0,CBX7
8555|PCGF6,0.026343517724271,-1.57932623293406,Homo sapiens,PCGF6,cr,HEK293T,Epithelium,Embryonic Kidney,0,PCGF6
62697|ZNF207,0.0268735854692466,-1.57067438620446,Homo sapiens,ZNF207,,MCF-7,Epithelium,Breast,1,ZNF207
35266|SNAPC4,0.02727266623974,-1.56427240233694,Homo sapiens,SNAPC4,not sure,MCF-10A,Epithelium,Breast,0,SNAPC4
8784|CHD3,0.0273345306954305,-1.56328837807879,Homo sapiens,CHD3,cr,K562,Erythroblast,Bone Marrow,0,CHD3
77035|ZNF790,0.0280834068719467,-1.55155020794048,Homo sapiens,ZNF790,tf,293T,None,None,0,ZNF790
36350|PTPN11,0.0281316885705734,-1.55080419905154,Homo sapiens,PTPN11,other,A549,Epithelium,Lung,0,PTPN11
54240|PGR,0.0281722405949984,-1.55017861132635,Homo sapiens,PGR,tf,None,Stromal Cell,Endometrium,1,PGR
77532|H2AK119ub,0.0283555377325666,-1.54736211236768,Homo sapiens,H2AK119ub,,U2OS,osteosarcoma,None,1,H2AK119ub
38815|MXD1,0.0283667547273967,-1.54719034642486,Homo sapiens,MXD1,tf,LoVo,None,Colon,0,MXD1
77171|ZNF157,0.028937830508589,-1.53853403138789,Homo sapiens,ZNF157,tf,293T,None,None,1,ZNF157
73462|MLLT3,0.0293540401442319,-1.5323321161679,Homo sapiens,MLLT3,not sure,THP-1,AML cell line,None,1,MLLT3
65185|ZNF816,0.0293998408329396,-1.53165502079747,Homo sapiens,ZNF816,,HEK293,Epithelium,Embryonic Kidney,1,ZNF816
42704|NR4A2,0.030640227067969,-1.51370802056683,Homo sapiens,NR4A2,tf,LoVo,None,Colon,1,NR4A2
74650|DRAP1,0.030649949191674,-1.51357024107359,Homo sapiens,DRAP1,tf,GM12878,B Lymphocyte,Blood,1,DRAP1
77131|ZNF383,0.0338296366657894,-1.47070266655994,Homo sapiens,ZNF383,tf,293T,None,None,1,ZNF383
77135|ZNF337,0.0340967423511858,-1.46728711210682,Homo sapiens,ZNF337,tf,293T,None,None,1,ZNF337
45978|ZNF217,0.0341142008388459,-1.46706479807144,Homo sapiens,ZNF217,predicted transcription factor,MCF-7,Epithelium,Breast,1,ZNF217
62802|PTRF,0.0355313042965833,-1.44938884997163,Homo sapiens,PTRF,,K562,Erythroblast,Bone Marrow,1,PTRF
38823|HES4,0.0363363745951032,-1.4396584059186,Homo sapiens,HES4,tf,LoVo,None,Colon,0,HES4
65202|ZNF37A,0.0385471165109301,-1.41400810348147,Homo sapiens,ZNF37A,,HEK293,Epithelium,Embryonic Kidney,1,ZNF37A
51841|TOP1,0.0388565566192979,-1.41053568823179,Homo sapiens,TOP1,not sure,LNCaP,Epithelium,Prostate,1,TOP1
63976|ZNF512,0.041276426584885,-1.38429790783532,Homo sapiens,ZNF512,,K562,Erythroblast,Bone Marrow,1,ZNF512
76412|ESCO2,0.0416799159445377,-1.38007316554491,Homo sapiens,ESCO2,other,None,None,None,1,ESCO2
63112|HNRNPLL,0.0428416746853278,-1.36813356089384,Homo sapiens,HNRNPLL,,HepG2,Epithelium,Liver,1,HNRNPLL
68569|POU3F2,0.0429735571263524,-1.36679869620189,Homo sapiens,POU3F2,tf,None,Neural Progenitor Cell,None,1,POU3F2
35717|UBE2I,0.0437706413235851,-1.35881709009574,Homo sapiens,UBE2I,other,WI-38,Fibroblast,Lung,1,UBE2I
73948|ZNF419,0.0454009685288751,-1.34293488233542,Homo sapiens,ZNF419,,293T,None,None,0,ZNF419
76456|USP7,0.0455372228993203,-1.3416334584876,Homo sapiens,USP7,tf,H1299,Epithelium,Lung,0,USP7
65157|ZNF260,0.0462799228346451,-1.33460737384552,Homo sapiens,ZNF260,,HEK293,Epithelium,Embryonic Kidney,1,ZNF260
77234|FOXR2,0.0470252891649533,-1.32766852523303,Homo sapiens,FOXR2,tf,MDA-MB-468,None,Breast,0,FOXR2
65187|ZNF146,0.0478165595835903,-1.3204216747199,Homo sapiens,ZNF146,,HEK293,Epithelium,Embryonic Kidney,1,ZNF146
45942|ZNF274,0.0483152839824538,-1.31591546346706,Homo sapiens,ZNF274,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZNF274
77086|ZNF566,0.0486598746760929,-1.31282901393277,Homo sapiens,ZNF566,tf,293T,None,None,1,ZNF566
5563|CARM1,0.0518506182292196,-1.2852460610312,Homo sapiens,CARM1,cr,H3396,Epithelium,Mammary Gland,0,CARM1
62646|HES2,0.0518753516303063,-1.28503894646136,Homo sapiens,HES2,tf,A549,Epithelium,Lung,1,HES2
38728|CASZ1,0.0519673740149002,-1.2842692281387,Homo sapiens,CASZ1,tf,LoVo,None,Colon,0,CASZ1
63515|PYGO2,0.0522241932816818,-1.28212825993588,Homo sapiens,PYGO2,,K562,Erythroblast,Bone Marrow,1,PYGO2
35268|SNAPC1,0.0527737679620279,-1.27758189678939,Homo sapiens,SNAPC1,not sure,MCF-10A,Epithelium,Breast,1,SNAPC1
51445|EOMES,0.0530997207878104,-1.27490776254625,Homo sapiens,EOMES,tf,HUES64,Embryonic Stem Cell,Embryo,1,EOMES
42778|OVOL2,0.0541900582630573,-1.26608038205071,Homo sapiens,OVOL2,tf,LoVo,None,Colon,1,OVOL2
45630|WRNIP1,0.0578931267548728,-1.23737299395165,Homo sapiens,WRNIP1,predicted chromatin regulator,GM12878,B Lymphocyte,Blood,1,WRNIP1
2651|PAX3,0.0582473364286693,-1.23472392954279,Homo sapiens,PAX3,tf,RD,None,Muscle,0,PAX3
74673|RUVBL1,0.0584980203182885,-1.23285883100143,Homo sapiens,RUVBL1,cr,HepG2,Epithelium,Liver,1,RUVBL1
1225|GLYR1,0.0594845915458714,-1.22559551617441,Homo sapiens,GLYR1,cr,HeLa,Epithelium,Cervix,1,GLYR1
42880|ZBTB4,0.0654409613354141,-1.18415032945289,Homo sapiens,ZBTB4,tf,LoVo,None,Colon,0,ZBTB4
41630|POLR3GL,0.0666678254781979,-1.17608371013949,Homo sapiens,POLR3GL,tf,IMR90,Fibroblast,Lung,1,POLR3GL
77092|ZNF555,0.0670220293398846,-1.17378242642956,Homo sapiens,ZNF555,tf,293T,None,None,1,ZNF555
72432|GUCY1B3,0.0689642171315253,-1.16137618945491,Homo sapiens,GUCY1B3,other,U87,glioma cancer cell line overexpressing sGC-beta1,None,1,GUCY1B3
77262|HMG20A,0.0718824330220871,-1.14337723164397,Homo sapiens,HMG20A,tf,GM12878,B Lymphocyte,Blood,1,HMG20A
64713|ZNF800,0.0735085381944604,-1.13366221363173,Homo sapiens,ZNF800,,HEK293,Epithelium,Embryonic Kidney,1,ZNF800
77188|ZFP90,0.0739496765871252,-1.13106372101441,Homo sapiens,ZFP90,tf,293T,None,None,1,ZFP90
33467|ELF5,0.0746285985095888,-1.12709471415164,Homo sapiens,ELF5,tf,T47D,Epithelium,Mammary Gland,1,ELF5
65168|ZBTB12,0.0755097638978152,-1.1219968876718,Homo sapiens,ZBTB12,,HEK293,Epithelium,Embryonic Kidney,0,ZBTB12
73975|ZNF12,0.076805089663145,-1.11460999950784,Homo sapiens,ZNF12,predicted transcription factor,293T,None,None,1,ZNF12
64129|ILK,0.0789723451632058,-1.10252496498407,Homo sapiens,ILK,,K562,Erythroblast,Bone Marrow,1,ILK
74685|NFIL3,0.0791301960737119,-1.10165775814933,Homo sapiens,NFIL3,tf,HepG2,Epithelium,Liver,1,NFIL3
54118|AGO2,0.0793713315866622,-1.10033633361791,Homo sapiens,AGO2,other,K562,Erythroblast,Bone Marrow,0,AGO2
55660|NR0B2,0.0825239196851991,-1.08342015227881,Homo sapiens,NR0B2,tf,HCT-116,None,Colon,1,NR0B2
77179|ZNF10,0.0847402843244785,-1.07191008316787,Homo sapiens,ZNF10,tf,293T,None,None,1,ZNF10
64550|GTF2A2,0.0848687116276858,-1.07125239069755,Homo sapiens,GTF2A2,,K562,Erythroblast,Bone Marrow,1,GTF2A2
77147|ZNF283,0.0876481748492101,-1.05725712305187,Homo sapiens,ZNF283,other,293T,None,None,1,ZNF283
42682|IRX5,0.0892962018685521,-1.04916701303317,Homo sapiens,IRX5,tf,LoVo,None,Colon,0,IRX5
65064|ZNF34,0.0950880821947563,-1.02187391167873,Homo sapiens,ZNF34,,HEK293,Epithelium,Embryonic Kidney,0,ZNF34
38641|ATF5,0.0967104226795932,-1.01452671859218,Homo sapiens,ATF5,tf,LoVo,None,Colon,0,ATF5
65215|ZNF784,0.0976573018618651,-1.01029527885069,Homo sapiens,ZNF784,,HEK293,Epithelium,Embryonic Kidney,0,ZNF784
55294|WWTR1,0.0978798093064838,-1.00930688543,Homo sapiens,WWTR1,other,MDA-MB-231,Epithelium,Breast,1,WWTR1
38727|MZF1,0.100330950760884,-0.998565072252265,Homo sapiens,MZF1,tf,LoVo,None,Colon,0,MZF1
42852|HOXC13,0.104425667619014,-0.981192739502371,Homo sapiens,HOXC13,tf,LoVo,None,Colon,0,HOXC13
77082|ZNF573,0.104459495040699,-0.981052077882216,Homo sapiens,ZNF573,tf,293T,None,None,1,ZNF573
77176|ZNF132,0.105407318893481,-0.977129233101659,Homo sapiens,ZNF132,tf,293T,None,None,1,ZNF132
38655|HOXC6,0.107191679735986,-0.9698389234584,Homo sapiens,HOXC6,tf,LoVo,None,Colon,0,HOXC6
33035|AHR,0.107204904575296,-0.969785345415056,Homo sapiens,AHR,tf,MCF-7,Epithelium,Breast,1,AHR
42656|FOXF1,0.10786130083707,-0.967134346304904,Homo sapiens,FOXF1,predicted transcription factor,LoVo,None,Colon,0,FOXF1
42677|ID4,0.10786130083707,-0.967134346304904,Homo sapiens,ID4,predicted transcription factor,LoVo,None,Colon,0,ID4
42847|STAG2,0.108786637470595,-0.963424446817853,Homo sapiens,STAG2,not sure,LoVo,None,Colon,1,STAG2
5130|ATRX,0.113270196402495,-0.945884346452899,Homo sapiens,ATRX,cr,None,Erythroblast,Blood,0,ATRX
38729|HOXB13,0.113495028292707,-0.945023162544289,Homo sapiens,HOXB13,tf,LoVo,None,Colon,1,HOXB13
9322|MEIS1,0.1190049193288,-0.92443508572348,Homo sapiens,MEIS1,tf,SEM,Pre-B Lymphocyte,None,1,MEIS1
42831|HAND1,0.127530158773085,-0.894387099622931,Homo sapiens,HAND1,not sure,LoVo,None,Colon,0,HAND1
77116|ZNF44,0.13155146484166,-0.880904311629149,Homo sapiens,ZNF44,tf,293T,None,None,1,ZNF44
77190|ZFP1,0.138996068461942,-0.856997483698649,Homo sapiens,ZFP1,tf,293T,None,None,1,ZFP1
52147|PDX1,0.139928605381039,-0.854093494305683,Homo sapiens,PDX1,tf,CyT49,Embryonic Stem Cell,Embryo,1,PDX1
38656|MSX1,0.142376406534812,-0.846561972501676,Homo sapiens,MSX1,tf,LoVo,None,Colon,0,MSX1
45891|ZC3H11A,0.143064354221649,-0.844468561161727,Homo sapiens,ZC3H11A,other,K562,Erythroblast,Bone Marrow,0,ZC3H11A
76279|CALU,0.144268112878642,-0.840829649025501,Homo sapiens,CALU,other,Calu-3,None,Lung,1,CALU
38679|LHX2,0.155575142535783,-0.808059792448743,Homo sapiens,LHX2,tf,LoVo,None,Colon,1,LHX2
77096|ZNF543,0.162512818546899,-0.789112377425889,Homo sapiens,ZNF543,tf,293T,None,None,1,ZNF543
53088|HOXB7,0.164451067802231,-0.783963302241459,Homo sapiens,HOXB7,tf,BT-474,Epithelium,Mammary Gland,0,HOXB7
65078|ZNF317,0.168633283397526,-0.773056703914666,Homo sapiens,ZNF317,,HEK293,Epithelium,Embryonic Kidney,1,ZNF317
77133|ZNF343,0.16930691095612,-0.771325314018356,Homo sapiens,ZNF343,tf,293T,None,None,1,ZNF343
77088|ZNF564,0.170069939825688,-0.769372441951838,Homo sapiens,ZNF564,tf,293T,None,None,1,ZNF564
38750|ZNF407,0.174511977851719,-0.758174759327251,Homo sapiens,ZNF407,tf,LoVo,None,Colon,1,ZNF407
72702|HOXA9,0.174702397033493,-0.757701136166026,Homo sapiens,HOXA9,tf,HEK293FT,None,Kidney,1,HOXA9
62965|EED,0.176646108744501,-0.752895924996214,Homo sapiens,EED,cr,GM12878,B Lymphocyte,Blood,1,EED
73963|ZNF266,0.183493015401075,-0.736380462368311,Homo sapiens,ZNF266,predicted transcription factor,293T,None,None,1,ZNF266
77043|ZNF777,0.185731850721752,-0.731113613726164,Homo sapiens,ZNF777,tf,293T,None,None,1,ZNF777
58829|CD59,0.195751010959745,-0.708295986342281,Homo sapiens,CD59,other,Raji,B Lymphocyte,Blood,0,CD59
77025|ZNF823,0.197143868735682,-0.70521672513738,Homo sapiens,ZNF823,tf,293T,None,None,1,ZNF823
77189|ZFP69,0.19746534045118,-0.704509121666584,Homo sapiens,ZFP69,tf,293T,None,None,1,ZFP69
38722|DLX4,0.203830323622956,-0.690731205989676,Homo sapiens,DLX4,tf,LoVo,None,Colon,0,DLX4
77151|ZNF26,0.20736779189309,-0.683258696786571,Homo sapiens,ZNF26,tf,293T,None,None,1,ZNF26
32948|NUP98,0.218576156382609,-0.6603972152877,Homo sapiens,NUP98,other,None,Neural Progenitor Cell,None,1,NUP98
55661|LEO1,0.23304840535533,-0.632553864401638,Homo sapiens,LEO1,predicted chromatin regulator,HCT-116,None,Colon,1,LEO1
73941|ZNF549,0.233247051992035,-0.632183836591891,Homo sapiens,ZNF549,,293T,None,None,1,ZNF549
65081|ZIM3,0.241247390410187,-0.617537375752399,Homo sapiens,ZIM3,,HEK293,Epithelium,Embryonic Kidney,1,ZIM3
77036|ZNF789,0.261370338667168,-0.582743699403077,Homo sapiens,ZNF789,other,293T,None,None,1,ZNF789
77106|ZNF492,0.268064606568481,-0.571760523528169,Homo sapiens,ZNF492,tf,293T,None,None,0,ZNF492
38792|MEIS3,0.277527995686742,-0.556693200797126,Homo sapiens,MEIS3,tf,LoVo,None,Colon,0,MEIS3
45693|CTBP2,0.27931077593899,-0.553912308693687,Homo sapiens,CTBP2,tf,H1,Embryonic Stem Cell,Embryo,1,CTBP2
63264|PTTG1,0.286489266477937,-0.542891644540311,Homo sapiens,PTTG1,,K562,Erythroblast,Bone Marrow,1,PTTG1
64312|PRDM2,0.288547107617147,-0.539783274681288,Homo sapiens,PRDM2,,HEK293,Epithelium,Embryonic Kidney,1,PRDM2
73930|ZNF708,0.293269918877088,-0.532732480952851,Homo sapiens,ZNF708,,293T,None,None,1,ZNF708
33542|IRF2,0.302048408834017,-0.519923447755824,Homo sapiens,IRF2,predicted transcription factor,None,Proerythroblast,Bone Marrow,1,IRF2
77053|ZNF730,0.302112678224279,-0.519831049081864,Homo sapiens,ZNF730,other,293T,None,None,1,ZNF730
38681|PHF20,0.302908979840805,-0.518687851667137,Homo sapiens,PHF20,cr,LoVo,None,Colon,0,PHF20
36364|SNAPC5,0.310192820015232,-0.508368258952631,Homo sapiens,SNAPC5,not sure,IMR90,Fibroblast,Lung,1,SNAPC5
77077|ZNF613,0.310397085697136,-0.508082364964088,Homo sapiens,ZNF613,tf,293T,None,None,1,ZNF613
1220|LRWD1,0.314994374419163,-0.50169720233907,Homo sapiens,LRWD1,cr,HeLa,Epithelium,Cervix,0,LRWD1
77127|ZNF429,0.331137476284431,-0.479991665449994,Homo sapiens,ZNF429,other,293T,None,None,1,ZNF429
8560|RYBP,0.350662543028184,-0.455110621985502,Homo sapiens,RYBP,tf,HEK293T,Epithelium,Embryonic Kidney,1,RYBP
77080|ZNF587,0.358011216166071,-0.446103367091522,Homo sapiens,ZNF587,tf,293T,None,None,1,ZNF587
42699|NHLH1,0.364017804545252,-0.438877373970032,Homo sapiens,NHLH1,predicted transcription factor,LoVo,None,Colon,0,NHLH1
65200|ZNF30,0.365883038306071,-0.436657723174831,Homo sapiens,ZNF30,,HEK293,Epithelium,Embryonic Kidney,1,ZNF30
65194|ZNF331,0.373619034194867,-0.42757100654466,Homo sapiens,ZNF331,,HEK293,Epithelium,Embryonic Kidney,1,ZNF331
39924|ICE2,0.398940245493499,-0.399092149415658,Homo sapiens,ICE2,other,HCT-116,None,Colon,1,ICE2
65212|ZNF513,0.411673112518584,-0.385447497020328,Homo sapiens,ZNF513,,HEK293,Epithelium,Embryonic Kidney,1,ZNF513
62531|ZNF585B,0.424119543971821,-0.372511714233174,Homo sapiens,ZNF585B,,HEK293,Epithelium,Embryonic Kidney,1,ZNF585B
77047|ZNF75D,0.44463574560391,-0.351995625994881,Homo sapiens,ZNF75D,tf,293T,None,None,1,ZNF75D
42695|MTF1,0.461799109877489,-0.335546908525095,Homo sapiens,MTF1,cr,LoVo,None,Colon,0,MTF1
77169|ZNF169,0.46393409165473,-0.333543712685981,Homo sapiens,ZNF169,tf,293T,None,None,1,ZNF169
77182|ZNF100,0.472364709515106,-0.325722556095273,Homo sapiens,ZNF100,other,293T,None,None,1,ZNF100
41812|JARID2,0.490775360860644,-0.30911724894191,Homo sapiens,JARID2,cr,None,iPSC,None,1,JARID2
73973|ZNF184,0.509094557963056,-0.293201545388997,Homo sapiens,ZNF184,,293T,None,None,0,ZNF184
5888|LIN9,0.513888261357343,-0.289131302700033,Homo sapiens,LIN9,not sure,HeLa,Epithelium,Cervix,1,LIN9
77175|ZNF133,0.530430933349481,-0.275371156942545,Homo sapiens,ZNF133,tf,293T,None,None,1,ZNF133
77165|ZNF182,0.533210693990939,-0.273101149028094,Homo sapiens,ZNF182,tf,293T,None,None,1,ZNF182
62811|COPS2,0.537234245349846,-0.269836311542336,Homo sapiens,COPS2,,K562,Erythroblast,Bone Marrow,1,COPS2
55355|PIAS1,0.537367087570516,-0.269728936570935,Homo sapiens,PIAS1,other,VCaP,Epithelium,Prostate,1,PIAS1
53323|INTS3,0.542699045779133,-0.265440942034347,Homo sapiens,INTS3,predicted transcription factor,HeLa,Epithelium,Cervix,1,INTS3
38796|ZFAT,0.548499546586289,-0.260823727095932,Homo sapiens,ZFAT,tf,LoVo,None,Colon,1,ZFAT
77125|ZNF431,0.562468572514074,-0.249901738398854,Homo sapiens,ZNF431,tf,293T,None,None,0,ZNF431
77108|ZNF485,0.587914494041342,-0.230685832880178,Homo sapiens,ZNF485,other,293T,None,None,1,ZNF485
77074|ZNF616,0.589384553097166,-0.229601250556966,Homo sapiens,ZNF616,tf,293T,None,None,1,ZNF616
47710|SOX11,0.602712897155411,-0.219889515179677,Homo sapiens,SOX11,tf,GRANTA-519,B Lymphocyte,None,0,SOX11
42683|ISL2,0.614600495525152,-0.211407093927098,Homo sapiens,ISL2,tf,LoVo,None,Colon,0,ISL2
77054|ZNF716,0.649464602403968,-0.187444514182264,Homo sapiens,ZNF716,tf,293T,None,None,1,ZNF716
77044|ZNF776,0.650686304166005,-0.186628334326121,Homo sapiens,ZNF776,tf,293T,None,None,1,ZNF776
77081|ZNF585A,0.655494704983265,-0.183430812144511,Homo sapiens,ZNF585A,tf,293T,None,None,1,ZNF585A
55540|RAG1,0.666378031726823,-0.176279328613692,Homo sapiens,RAG1,cr,Ramos,Thymocyte,None,1,RAG1
77078|ZNF611,0.669745266573137,-0.174090347086579,Homo sapiens,ZNF611,tf,293T,None,None,1,ZNF611
77269|ZNF410,0.670383886966382,-0.173676432751414,Homo sapiens,ZNF410,tf,K562,Erythroblast,Bone Marrow,1,ZNF410
42693|MIXL1,0.675826738522626,-0.170164629721361,Homo sapiens,MIXL1,tf,LoVo,None,Colon,0,MIXL1
50456|AUTS2,0.681313615557582,-0.166652931914205,Homo sapiens,AUTS2,not sure,293T-Rex,None,None,1,AUTS2
53472|SVIL,0.685615596096639,-0.163919311823378,Homo sapiens,SVIL,other,SH-SY5Y,None,Bone Marrow,1,SVIL
51360|PSIP1,0.694532937840314,-0.158307153262446,Homo sapiens,PSIP1,predicted transcription factor,None,T Lymphocyte,None,1,PSIP1
38845|DBP,0.700902783649945,-0.154342215203487,Homo sapiens,DBP,tf,LoVo,None,Colon,0,DBP
65217|ZNF502,0.70124282656314,-0.154131568373899,Homo sapiens,ZNF502,,HEK293,Epithelium,Embryonic Kidney,0,ZNF502
1797|BRF1,0.702363832529111,-0.153437860053891,Homo sapiens,BRF1,tf,IMR90,Fibroblast,Lung,1,BRF1
42871|TFCP2,0.707028560045518,-0.150563042752391,Homo sapiens,TFCP2,tf,LoVo,None,Colon,0,TFCP2
1|BTAF1,0.70952535524777,-0.149032080196024,Homo sapiens,BTAF1,tf,HeLa,Epithelium,Cervix,0,BTAF1
77237|ZSCAN5B,0.712377915544451,-0.147289552580281,Homo sapiens,ZSCAN5B,tf,BeWo,None,None,1,ZSCAN5B
53165|ALKBH3,0.712394448175787,-0.147279473734363,Homo sapiens,ALKBH3,other,PC-3,Epithelium,Prostate,1,ALKBH3
77101|ZNF527,0.718940295804567,-0.14330717398323,Homo sapiens,ZNF527,tf,293T,None,None,0,ZNF527
42765|HOXC8,0.723580693615477,-0.140513029385636,Homo sapiens,HOXC8,tf,LoVo,None,Colon,0,HOXC8
65059|ZFP82,0.730433754032394,-0.136419165852594,Homo sapiens,ZFP82,,HEK293,Epithelium,Embryonic Kidney,0,ZFP82
77186|ZIM2,0.731976194615155,-0.135503042869738,Homo sapiens,ZIM2,tf,293T,None,None,0,ZIM2
38744|RAX2,0.734088414505611,-0.134251629975664,Homo sapiens,RAX2,tf,LoVo,None,Colon,0,RAX2
38648|GLI1,0.752586414481437,-0.123443625730477,Homo sapiens,GLI1,tf,LoVo,None,Colon,0,GLI1
42850|GRHL1,0.757598038845653,-0.120561158238697,Homo sapiens,GRHL1,predicted transcription factor,LoVo,None,Colon,1,GRHL1
